canonical_team_id,af_team_id,af_team_name,ft_team_id,ft_team_name,us_team_id,us_team_name,sf_team_id,sf_team_name,tm_team_id,tm_team_name,tm_total_market_value_eur,tm_squad_size,tm_average_age
ALBION_PROS,9067,Albion Pros,,,,,,,,,,,
ALBION_SPORTS,8677,Albion Sports,,,,,,,,,,,
ALBIREX_NIIGATA,311,Albirex Niigata,1011.0,Albirex Niigata,,,95b758c68516105b,Albirex Niigata,8344.0,Albirex Niigata,7380000,31,27.1
ALCAINS,4721,Alcains,,,,,,,,,,,
ALCOCHETENSE,6348,Alcochetense,,,,,,,,,,,
ALCORA,20437,Alcora,,,,,,,,,,,
ALCORCON,711,Alcorcon,302.0,AD Alcorcón,,,c6c3e18110c33f4c,Alcorcon,0.0,0,,,
ALCOYANO,9686,Alcoyano,,,,,,,,,,,
ALDEANO,18087,Aldeano,,,,,,,,,,,
ALDERSHOT_TOWN,1818,Aldershot Town,1836.0,Aldershot Town FC,,,,,3717.0,Aldershot Town,75000,26,25.4
ALDOSIVI,463,Aldosivi,696.0,CA Aldosivi,,,f5bc1dfdcf0990ef,CA Aldosivi,12301.0,CA Aldosivi,8380000,31,27.6
ALEBRIJES_DE_OAXACA,2300,Alebrijes de Oaxaca,0.0,0,,,,,,,,,
ALEMANNIA_AACHEN,4259,Alemannia Aachen,,,,,,,,,,,
ALENCON,3248,Alençon,,,,,,,,,,,
ALESSANDRIA,878,Alessandria,2341.0,US Alessandria Calcio 1912,,,fbefdf91ab907657,Alessandria,0.0,0,,,
ALFARO,9860,Alfaro,,,,,,,,,,,
ALFOLD,14405,Alfold,,,,,,,,,,,
ALFRETON_TOWN,4677,Alfreton Town,,,,,,,,,,,
ALGAR,20438,Algar,,,,,,,,,,,
ALGARD,7050,Ålgård,,,,,,,,,,,
ALGECIRAS,9597,Algeciras,,,,,,,,,,,
ALHOLM,26267,Ålholm,,,,,,,0.0,0,,,
ALIADOS_LORDELO,22158,Aliados Lordelo,,,,,,,,,,,
ALIAGA_FAS,21993,Aliağa FAŞ,,,,,,,,,,,
ALIANCA_DE_GANDRA,4821,Aliança de Gandra,,,,,,,,,,,
ALJUSTRELENSE,4722,Aljustrelense,,,,,,,,,,,
ALKEN,5741,Alken,,,,,,,,,,,
ALLERD,8636,Allerød,,,,,,,0.0,0,,,
ALLERHEILIGEN,4934,Allerheiligen,,,,,,,,,,,
ALLES,6005,Allesø,,,,,,,0.0,0,,,
ALLOA_ATHLETIC,1391,Alloa Athletic,1159.0,Alloa Athletic FC,,,,,0.0,0,,,
ALLOBROGES_ASAFIA,25325,Allobroges Asafia,,,,,,,,,,,
ALLSCHWIL,6612,Allschwil,,,,,,,,,,,
ALL_BOYS,464,All Boys,747.0,CA All Boys,,,6a919c44cec33ca1,All Boys,12100.0,CA All Boys,2170000,28,27.9
ALMAGRO,482,Almagro,730.0,Club Almagro,,,,,14977.0,Club Almagro,3380000,27,26.0
ALMAZAN,9721,Almazán,,,,,,,,,,,
ALMERE_CITY_FC,419,Almere City FC,393.0,Almere City FC,,,c35901be72dc9cb4,Almere City FC,723.0,Almere City FC,8050000,27,23.9
ALMERIA,723,Almeria,296.0,UD Almería,208.0,Almeria,78a80241cea08487,Almeria,3302.0,UD Almería,50300000,27,27.4
ALMHULTS,19001,Älmhults,,,,,,,,,,,
ALMIRANTE_BROWN,8375,Almirante Brown,752.0,Club Almirante Brown,,,,,12672.0,Club Almirante Brown,3190000,37,26.8
ALMODOVAR,4822,Almodôvar,,,,,,,,,,,
ALMOPOS,12368,Almopos,,,,,,,,,,,
ALMYROS_GAZIOU,15369,Almyros Gaziou,,,,,,,,,,,
ALPENDORADA,17775,Alpendorada,,,,,,,,,,,
ALQUEIDAO_DA_SERRA,15202,Alqueidão da Serra,,,,,,,,,,,
ALRESFORD_TOWN,8678,Alresford Town,,,,,,,,,,,
ALTA,25838,Alta,,,,,,,,,,,
ALTA,6965,Alta,,,,,,,,,,,
ALTAY,3566,Altay,10058.0,Altay Spor Kulübü,,,cf156ca53cc6ce95,Altay SK Izmir,0.0,0,,,
ALTGLIENICKE,9349,Altglienicke,,,,,,,,,,,
ALTNDAG,15360,Altındağ,,,,,,,,,,,
ALTNDAG_BELEDIYESISPOR,7393,Altındağ Belediyesispor,,,,,,,,,,,
ALTNORDU,3567,Altınordu,354.0,Altinordu FK,,,,,0.0,0,,,
ALTNOVA_BELEDIYESPOR,13365,Altınova Belediyespor,,,,,,,,,,,
ALTON_TOWN,12049,Alton Town,,,,,,,,,,,
ALTOS,1203,Altos,,,,,,,,,,,
ALTRINCHAM,4700,Altrincham,1847.0,Altrincham FC,,,,,2962.0,Altrincham FC,25000,27,25.6
ALTSTATTEN,6613,Altstätten,,,,,,,,,,,
ALVARADO,1962,Alvarado,5450.0,Club Atlético Alvarado Mar del Plata,,,8996e3bcc6cc5e44,CA Alvarado,12563.0,CA Alvarado,,26,26.4
ALVECHURCH,7692,Alvechurch,,,,,,,,,,,
ALVERCA,4724,Alverca,10708.0,Alverca,,,dcab472896825799,Alverca,2521.0,FC Alverca,33549999,29,24.4
ALZIRA,9687,Alzira,,,,,,,,,,,
AMAGER_FF,21624,Amager FF,,,,,,,0.0,0,,,
AMAL,13810,Åmål,,,,,,,,,,,
AMARANTE,4725,Amarante,,,,,,,,,,,
AMARES,15203,Amares,,,,,,,,,,,
AMASYASPOR_1968,19299,Amasyaspor 1968,,,,,,,,,,,
AMAZONAS,10862,Amazonas,677389.0,Amazonas FC,,,,,87727.0,Amazonas FC,,41,28.6
AMBROSIANA,9463,Ambrosiana,,,,,,,,,,,
AMED,3579,Amed,10641.0,Amed Sportif Faaliyetler Kulübü,,,,,12382.0,Amed SK,10500000,25,28.8
AMERICANO_CAMPOS,2203,Americano Campos,,,,,,,,,,,
AMERICA_CFL_SPURS,23215,America CFL Spurs,,,,,,,,,,,
AMERICA_MINEIRO,125,America Mineiro,633.0,América FC - Minas Gerais,,,bd47bca0db0a29d5,America MG,330.0,Clube Atlético Mineiro,88450000,36,25.3
AMERICA_RN,2233,America-RN,,,,,,,,,,,
AMERSHAM_TOWN,24331,Amersham Town,,,,,,,,,,,
AMESBURY_TOWN,8679,Amesbury Town,,,,,,,,,,,
AMICAL_SAINT_PREX,16316,Amical Saint-Prex,,,,,,,,,,,
AMIENS,87,Amiens,481.0,Amiens SC,224.0,Amiens,2034a21d9a892068,Amiens,1416.0,Amiens SC,24230000,28,24.7
AMIENSE,22159,Amiense,,,,,,,,,,,
AMIENS_AC,9251,Amiens AC,,,,,,,,,,,
AMIGO,20439,Amigó,,,,,,,,,,,
AMNEVILLE,3144,Amnéville,,,,,,,,,,,
AMORA,4726,Amora,,,,,,,,,,,
AMOREBIETA,9380,Amorebieta,4522.0,SD Amorebieta,,,59fb92dcf842d738,Amorebieta,0.0,0,,,
AMPELOKIPON_DRAMA,15238,Ampelokipon Drama,,,,,,,,,,,
AMVRAKIKOS_LOUTROU,15251,Amvrakikos Loutrou,,,,,,,,,,,
AMVRYSSEAS,15266,Amvrysseas,,,,,,,,,,,
ANADIA,4727,Anadia,,,,,,,,,,,
ANADOLU_SELCUKSPOR,3580,Anadolu Selçukspor,,,,,,,,,,,
ANADOLU_UNIVERSITESI,21997,Anadolu Üniversitesi,,,,,,,,,,,
ANAGENNISI_ARTAS,12387,Anagennisi Artas,,,,,,,,,,,
ANAGENNISI_IERAPETRA,15370,Anagennisi Ierapetra,,,,,,,,,,,
ANAGENNISI_KARDITSAS,2094,Anagennisi Karditsas,,,,,,,,,,,
ANAGENNISI_PLAGIA,5028,Anagennisi Plagia,,,,,,,,,,,
ANAITASUNA,15340,Anaitasuna,,,,,,,,,,,
ANAPOLIS,7852,Anápolis,,,,,,,,,,,
ANATOLI_SERRON,15476,Anatoli Serron,,,,,,,,,,,
ANCA,6349,Ançã,,,,,,,,,,,
ANCIENNE_CHATEAU_GONTIER,3145,Ancienne Château-Gontier,,,,,,,,,,,
ANCORA_PRAIA,17393,Âncora Praia,,,,,,,,,,,
ANDENNAIS,5742,Andennais,,,,,,,,,,,
ANDERLECHT,554,Anderlecht,61.0,RSC Anderlecht,,,73d37888095e7085,Anderlecht,58.0,RSC Anderlecht,98750000,30,24.4
ANDERLECHT_MILAN,5743,Anderlecht-Milan,,,,,,,,,,,
ANDERLUES,5744,Anderlues,,,,,,,,,,,
ANDERSTORP,14107,Anderstorp,,,,,,,,,,,
ANDONG_SCIENCE_UNI,7054,Andong Science Uni,,,,,,,,,,,
ANDOVER_NEW_STREET,8680,Andover New Street,,,,,,,,,,,
ANDRATX,8151,Andratx,,,,,,,,,,,
ANDREZIEUX,3009,Andrézieux,,,,,,,,,,,
ANDUZIEN,3146,Anduzien,,,,,,,,,,,
ANGELHOLMS_FF,2168,Angelholms FF,,,,,,,,,,,
ANGERED_BK,14108,Angered BK,,,,,,,,,,,
ANGERS,77,Angers,444.0,Angers Sporting Club de l'Ouest,167.0,Angers,6ac9afd73a1b99c4,Angers,1420.0,Angers SCO,72700000,24,25.8
ANGLET_GENETS,3010,Anglet Genets,,,,,,,,,,,
ANGOULEME,3011,Angoulême,,,,,,,,,,,
ANGRENSE,4728,Angrense,,,,,,,,,,,
ANIF,10164,Anif,,,,,,,,,,,
ANKARAGUCU,1010,Ankaragücü,1041.0,MKE Ankaragücü,,,fc8d9933a774980,Ankaragucu,0.0,0,,,
ANKARASPOR,780,Ankaraspor,186.0,Osmanlispor FK,,,,,0.0,0,,,
ANKARA_DEMIRSPOR,3581,Ankara Demirspor,,,,,,,,,,,
ANNECY,3012,Annecy,3897.0,FC Annecy,,,5f1e7eb472aa8229,Annecy,0.0,0,,,
ANNECY_LE_VIEUX,3013,Annecy-le-Vieux,,,,,,,,,,,
ANN_ARBOR,9013,Ann Arbor,,,,,,,,,,,
ANORTHOSIS,2269,Anorthosis,,,,,,,,,,,
ANO_MERAS,12397,Ano Meras,,,,,,,,,,,
ANSAN_GAKGOL,7055,Ansan Gakgol,,,,,,,,,,,
ANSAN_GREENERS,2758,Ansan Greeners,3943.0,Ansan Greeners FC,,,,,57434.0,Ansan Greeners,2430000,34,24.8
ANSTEY_NOMADS,8681,Anstey Nomads,,,,,,,,,,,
ANS_MONTEGNEE,21775,Ans Montegnée,,,,,,,,,,,
ANTALYASPOR,1005,Antalyaspor,195.0,Antalyaspor,,,d853f88e265069e4,Antalyaspor,589.0,Antalyaspor,22400000,28,27.2
